date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:20	23541/23541	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_validation.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_validation.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	36801/36801	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_wizards.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_wizards.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	17282/17282	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_upload.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_upload.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:20	36236/36236	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/form_buttons.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/form_buttons.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:21	90399/90399	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/general_elements.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/general_elements.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:21	26740/26740	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/media_gallery.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/media_gallery.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:21	19130/19130	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/typography.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/typography.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:22	133464/133464	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/icons.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/icons.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:22	92796/92796	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/glyphicons.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/glyphicons.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:22	54585/54585	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/widgets.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/widgets.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:22	24531/24531	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/invoice.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/invoice.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:23	36049/36049	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/inbox.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/inbox.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:23	23308/23308	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/calendar.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/calendar.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:23	35431/35431	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/tables.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/tables.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:23	162281/162281	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/tables_dynamic.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/tables_dynamic.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:24	28746/28746	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/chartjs.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/chartjs.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:24	28662/28662	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/chartjs2.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/chartjs2.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:24	28741/28741	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/morisjs.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/morisjs.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
09:51:24	86511/86511	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2022:32:57%20GMT	https://mortezakarimi.github.io/gentelella-rtl/public/echarts.html	C:/Users/Akrem/Desktop/template/template%20rtl/mortezakarimi.github.io/gentelella-rtl/public/echarts.html	(from https://mortezakarimi.github.io/gentelella-rtl/public/index.html)
